jp,en
手術は全身麻酔で行いました。,The operation was performed under general anesthesia.
上顎癌切除後に前外側大腿皮弁で再建しました。,We reconstructed with an anterolateral thigh flap after maxillectomy.
舌部分切除の後、橈側前腕皮弁を縫着しました。,We inset a radial forearm free flap after partial glossectomy.
下顎歯肉癌切除後に腓骨皮弁で下顎再建を行いました。,We reconstructed the mandible with a fibula free flap after gingival carcinoma resection.
口腔底癌には前腕皮弁で薄い被覆を行いました。,For floor-of-mouth cancer, we provided thin coverage with a radial forearm flap.
中咽頭再建には前外側大腿皮弁を選択しました。,We selected an anterolateral thigh flap for oropharyngeal reconstruction.
下咽頭癌切除後は遊離空腸で再建しました。,We used a free jejunal flap after hypopharyngectomy.
頭蓋底欠損は前外側大腿皮弁で被覆しました。,The skull base defect was covered with an anterolateral thigh flap.
耳下腺癌切除後の顔面神経はケーブル移植で再建しました。,The facial nerve after parotid cancer resection was reconstructed with cable grafting.
頸動脈の露出部は胸鎖乳突筋の回転で被覆しました。,The exposed carotid artery was covered by a rotated sternocleidomastoid muscle.
鼻腔底の欠損には前外側大腿皮弁の薄層で対応しました。,A thin ALT flap layer was used for the nasal floor defect.
頬部の軟部組織は前外側大腿皮弁でボリュームを回復しました。,Buccal soft tissue volume was restored with an ALT flap.
舌根部の欠損は前腕皮弁で可動性を確保しました。,A forearm flap secured mobility for a base-of-tongue defect.
下顎骨の連続性は腓骨皮弁で再建されました。,Mandibular continuity was restored with a fibula free flap.
口腔粘膜の表在欠損は分層植皮で覆いました。,A superficial oral mucosal defect was covered with split-thickness skin graft.
上咽頭の小欠損は局所粘膜弁で閉鎖しました。,A small nasopharyngeal defect was closed with a local mucosal flap.
咽頭瘻には遊離空腸で管腔を再建しました。,A free jejunal flap was used to reconstruct the pharyngocutaneous fistula.
頬粘膜の可動域を保つため薄い前腕皮弁を選択しました。,A thin radial forearm flap was chosen to preserve buccal mobility.
顔面神経の欠損部は腓腹神経移植で橋渡ししました。,The gap in the facial nerve was bridged using a sural nerve graft.
頸静脈の再建はパッチ形成で温存しました。,The internal jugular vein was preserved with patch angioplasty.
