jp,en
私は彼にメールを送った。,I sent him an email.
患者さんは朝から痛みを訴えている。,The patient has been complaining of pain since morning.
明日までにこの報告書を仕上げる必要がある。,I need to finish this report by tomorrow.
この薬は食後に一日三回服用してください。,Please take this medicine three times a day after meals.
手術は予定どおり午後二時に始まった。,The operation started at 2 p.m. as scheduled.
彼女はその提案にすぐ賛成した。,She immediately agreed to the proposal.
私は彼に検査結果を説明した。,I explained the test results to him.
もし熱が続くなら病院を受診してください。,If the fever continues, please visit the hospital.
彼は締切の前日に原稿を提出した。,He submitted the manuscript the day before the deadline.
まず洗ってから傷口にガーゼを当ててください。,First wash the wound and then apply gauze to it.
術後の腫れは数日で徐々に引いていきます。,Postoperative swelling will gradually subside over a few days.
ここで靴を脱いでください。,Please take off your shoes here.
レントゲンで骨折は確認されなかった。,No fracture was detected on the X‑ray.
週末は家族と過ごす予定です。,I’m planning to spend the weekend with my family.
質問があれば遠慮なく聞いてください。,If you have any questions, please feel free to ask.
彼は遅刻したことを私に謝った。,He apologized to me for being late.
縫合は細いナイロン糸で丁寧に行われた。,The suturing was carefully performed with fine nylon thread.
必要に応じて抗生剤を追加します。,We will add antibiotics as needed.
昼休みに少し散歩して気分転換した。,I took a short walk during the lunch break to refresh myself.
明日のカンファレンスでこの症例を提示します。,I will present this case at tomorrow’s conference.
